Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-25 00:00:00+09:00,48720.88274244357,49148.52061913781,48084.39846085215,48243.51953125,730400,0.0,0.0
2025-08-26 00:00:00+09:00,47945.165944134336,48074.45180957174,47040.164886072474,47547.36328125,817200,0.0,0.0
2025-08-27 00:00:00+09:00,47567.25332769913,47736.319459116836,47070.0,47070.0,501300,0.0,0.0
2025-08-28 00:00:00+09:00,47000.0,47520.0,46880.0,47090.0,662200,260.0,0.0
2025-08-29 00:00:00+09:00,47050.0,47190.0,46450.0,46520.0,700100,0.0,0.0
2025-09-01 00:00:00+09:00,46300.0,46700.0,45690.0,46210.0,735400,0.0,0.0
2025-09-02 00:00:00+09:00,46330.0,46770.0,46220.0,46440.0,610600,0.0,0.0
2025-09-03 00:00:00+09:00,46160.0,47080.0,45990.0,46670.0,835200,0.0,0.0
2025-09-04 00:00:00+09:00,46830.0,48090.0,46680.0,47820.0,1116200,0.0,0.0
2025-09-05 00:00:00+09:00,48520.0,49120.0,48100.0,48490.0,993100,0.0,0.0
2025-09-08 00:00:00+09:00,49210.0,49990.0,49020.0,49180.0,1296400,0.0,0.0
2025-09-09 00:00:00+09:00,49730.0,49780.0,48380.0,48400.0,1027600,0.0,0.0
2025-09-10 00:00:00+09:00,48400.0,48490.0,47800.0,48290.0,911400,0.0,0.0
2025-09-11 00:00:00+09:00,47730.0,47950.0,47430.0,47950.0,1028100,0.0,0.0
2025-09-12 00:00:00+09:00,48920.0,49020.0,48320.0,48320.0,1680900,0.0,0.0
2025-09-16 00:00:00+09:00,48010.0,48100.0,47330.0,47360.0,944100,0.0,0.0
2025-09-17 00:00:00+09:00,47000.0,47630.0,46730.0,47580.0,919200,0.0,0.0
2025-09-18 00:00:00+09:00,47730.0,48130.0,47350.0,47870.0,739000,0.0,0.0
2025-09-19 00:00:00+09:00,48330.0,48390.0,44920.0,45720.0,3025600,0.0,0.0
2025-09-22 00:00:00+09:00,46420.0,46830.0,46050.0,46600.0,1244900,0.0,0.0
2025-09-24 00:00:00+09:00,46680.0,46740.0,45600.0,45690.0,1230100,0.0,0.0
2025-09-25 00:00:00+09:00,46000.0,46060.0,45320.0,45390.0,1113400,0.0,0.0
2025-09-26 00:00:00+09:00,45290.0,45920.0,45030.0,45580.0,1262300,0.0,0.0
2025-09-29 00:00:00+09:00,45350.0,45580.0,44900.0,45390.0,1179500,0.0,0.0
2025-09-30 00:00:00+09:00,44910.0,45240.0,44750.0,45040.0,1124100,0.0,0.0
2025-10-01 00:00:00+09:00,44740.0,45390.0,44680.0,45290.0,975900,0.0,0.0
2025-10-02 00:00:00+09:00,45470.0,45790.0,44800.0,44810.0,1234900,0.0,0.0
2025-10-03 00:00:00+09:00,44510.0,45460.0,44380.0,45460.0,1021200,0.0,0.0
2025-10-06 00:00:00+09:00,47460.0,47980.0,47300.0,47710.0,2091600,0.0,0.0
2025-10-07 00:00:00+09:00,47270.0,47650.0,46930.0,47100.0,1503100,0.0,0.0
2025-10-08 00:00:00+09:00,47470.0,47470.0,46690.0,46710.0,1227100,0.0,0.0
2025-10-09 00:00:00+09:00,46800.0,48290.0,46490.0,48290.0,1726400,0.0,0.0
2025-10-10 00:00:00+09:00,50700.0,52190.0,50070.0,51500.0,4417600,0.0,0.0
2025-10-14 00:00:00+09:00,51110.0,52250.0,50810.0,51470.0,2195300,0.0,0.0
2025-10-15 00:00:00+09:00,51510.0,52840.0,51010.0,52450.0,1504100,0.0,0.0
2025-10-16 00:00:00+09:00,53430.0,53640.0,51850.0,52170.0,1178200,0.0,0.0
2025-10-17 00:00:00+09:00,51170.0,52560.0,51170.0,51580.0,1126900,0.0,0.0
2025-10-20 00:00:00+09:00,52580.0,53820.0,52180.0,53550.0,1290300,0.0,0.0
2025-10-21 00:00:00+09:00,54200.0,55040.0,53990.0,54550.0,1412300,0.0,0.0
2025-10-22 00:00:00+09:00,54550.0,55600.0,54320.0,55470.0,1134400,0.0,0.0
2025-10-23 00:00:00+09:00,55840.0,55940.0,54880.0,55350.0,933900,0.0,0.0
2025-10-24 00:00:00+09:00,55710.0,55940.0,55310.0,55340.0,745000,0.0,0.0
2025-10-27 00:00:00+09:00,55880.0,57020.0,55700.0,56620.0,1061300,0.0,0.0
2025-10-28 00:00:00+09:00,56840.0,56970.0,55710.0,55950.0,799900,0.0,0.0
2025-10-29 00:00:00+09:00,55950.0,55990.0,54650.0,55470.0,1064500,0.0,0.0
2025-10-30 00:00:00+09:00,54550.0,55060.0,54100.0,54500.0,1269900,0.0,0.0
2025-10-31 00:00:00+09:00,54710.0,56660.0,54420.0,56660.0,1119500,0.0,0.0
2025-11-04 00:00:00+09:00,55500.0,56160.0,55030.0,55030.0,1461200,0.0,0.0
2025-11-05 00:00:00+09:00,57030.0,57030.0,55030.0,56130.0,1900900,0.0,0.0
2025-11-06 00:00:00+09:00,56810.0,57330.0,56210.0,56580.0,1238500,0.0,0.0
2025-11-07 00:00:00+09:00,56560.0,57560.0,56380.0,57210.0,1093900,0.0,0.0
2025-11-10 00:00:00+09:00,57220.0,58230.0,57080.0,58230.0,854900,0.0,0.0
2025-11-11 00:00:00+09:00,59270.0,59830.0,58380.0,58630.0,889600,0.0,0.0
2025-11-12 00:00:00+09:00,59590.0,59780.0,57970.0,57970.0,982500,0.0,0.0
